id,timestamp,camera_id,track_id,lane_id,total_dwell_sec,equipment_type
2156,2026-04-12 02:38:12.87813+02,SIM_WS_normal_day,1,0,751.080631,none
2157,2026-04-12 02:43:56.381764+02,SIM_WS_normal_day,2,0,1033.646107,none
2158,2026-04-12 02:44:29.72553+02,SIM_WS_normal_day,3,1,1037.865137,none
2159,2026-04-12 02:46:33.93025+02,SIM_WS_normal_day,4,0,1132.899735,none
2160,2026-04-12 02:51:03.406818+02,SIM_WS_normal_day,5,0,1190.389815,none
2161,2026-04-12 02:51:37.472808+02,SIM_WS_normal_day,10,1,667.872623,none
2162,2026-04-12 02:52:34.84966+02,SIM_WS_normal_day,7,0,907.728341,none
2163,2026-04-12 02:53:07.486535+02,SIM_WS_normal_day,6,1,952.062066,none
2164,2026-04-12 02:54:07.015932+02,SIM_WS_normal_day,9,0,863.857167,none
2165,2026-04-12 02:55:10.176587+02,SIM_WS_normal_day,8,1,1026.979618,none
2166,2026-04-12 03:00:06.56365+02,SIM_WS_normal_day,11,0,823.445317,none
2167,2026-04-12 03:02:39.273984+02,SIM_WS_normal_day,12,0,910.595959,none
2168,2026-04-12 03:09:25.994988+02,SIM_WS_normal_day,13,0,989.975078,none
2624,2026-04-12 11:38:47.38617+02,SIM_WS_normal_day,61,0,1254.384576,none
2625,2026-04-12 11:39:07.291159+02,SIM_WS_normal_day,65,1,1085.536681,none
2626,2026-04-12 11:40:40.740009+02,SIM_WS_normal_day,69,0,1118.650395,none
2627,2026-04-12 11:41:06.162423+02,SIM_WS_normal_day,66,1,1190.242116,none
2628,2026-04-12 11:42:39.417106+02,SIM_WS_normal_day,68,0,1254.344968,none
2629,2026-04-12 11:42:55.643571+02,SIM_WS_normal_day,78,1,996.937984,none
2630,2026-04-12 11:44:13.42439+02,SIM_WS_normal_day,48,0,2159.534886,none
2631,2026-04-12 11:44:27.752698+02,SIM_WS_normal_day,67,1,1377.953365,none
2632,2026-04-12 11:45:46.799183+02,SIM_WS_normal_day,57,0,1786.834208,none
2633,2026-04-12 11:47:04.808687+02,SIM_WS_normal_day,47,1,2421.954399,none
2634,2026-04-12 11:47:33.520848+02,SIM_WS_normal_day,72,0,1386.763796,none
2635,2026-04-12 11:48:36.091376+02,SIM_WS_normal_day,76,1,1367.602139,none
2636,2026-04-12 11:49:16.391562+02,SIM_WS_normal_day,74,0,1470.452006,none
2637,2026-04-12 11:50:18.220771+02,SIM_WS_normal_day,80,1,1368.642861,none
2638,2026-04-12 11:51:53.498719+02,SIM_WS_normal_day,107,2,491.944713,none
2639,2026-04-12 11:51:55.830383+02,SIM_WS_normal_day,75,1,1616.846566,none
2640,2026-04-12 11:52:04.397552+02,SIM_WS_normal_day,55,0,2378.173744,none
2641,2026-04-12 11:53:31.317833+02,SIM_WS_normal_day,91,2,1115.725841,none
2642,2026-04-12 11:53:52.365217+02,SIM_WS_normal_day,71,1,1775.765617,none
2643,2026-04-12 11:54:36.611756+02,SIM_WS_normal_day,70,0,1944.446965,none
2644,2026-04-12 11:55:11.403537+02,SIM_WS_normal_day,100,2,867.624873,none
2645,2026-04-12 11:55:29.937729+02,SIM_WS_normal_day,81,1,1668.53158,none
2646,2026-04-12 11:56:20.399911+02,SIM_WS_normal_day,94,0,1227.162641,none
2647,2026-04-12 11:56:54.965981+02,SIM_WS_normal_day,82,2,1740.238008,none
2648,2026-04-12 11:57:16.985165+02,SIM_WS_normal_day,92,1,1330.383906,none
2649,2026-04-12 11:58:02.895189+02,SIM_WS_normal_day,73,0,2005.762847,none
2650,2026-04-12 11:58:52.392458+02,SIM_WS_normal_day,90,2,1502.293181,none
2651,2026-04-12 11:58:56.838186+02,SIM_WS_normal_day,77,1,1972.85488,none
2652,2026-04-12 11:59:46.011788+02,SIM_WS_normal_day,87,0,1660.564031,none
2653,2026-04-12 11:59:56.113531+02,SIM_WS_normal_day,101,3,1141.012825,none
2169,2026-04-12 02:37:02.811932+02,SIM_WS_lunch_rush,1,0,531.506602,none
2654,2026-04-12 12:00:41.673217+02,SIM_WS_normal_day,105,2,1049.719029,none
2655,2026-04-12 12:01:21.909427+02,SIM_WS_normal_day,95,0,1484.933479,none
2656,2026-04-12 12:01:50.752345+02,SIM_WS_normal_day,49,1,3201.663782,none
2657,2026-04-12 12:02:27.5431+02,SIM_WS_normal_day,56,3,2926.184656,none
2658,2026-04-12 12:03:13.211542+02,SIM_WS_normal_day,93,0,1647.255948,none
2659,2026-04-12 12:03:32.376046+02,SIM_WS_normal_day,97,1,1539.131102,none
2660,2026-04-12 12:03:39.29942+02,SIM_WS_normal_day,44,2,3497.465502,none
2661,2026-04-12 12:04:21.717715+02,SIM_WS_normal_day,110,3,1215.968319,none
2662,2026-04-12 12:05:08.262621+02,SIM_WS_normal_day,96,0,1643.241212,none
2663,2026-04-12 12:05:28.799745+02,SIM_WS_normal_day,115,1,1087.511935,none
2664,2026-04-12 12:05:29.439546+02,SIM_WS_normal_day,98,2,1639.121703,none
2665,2026-04-12 12:06:00.743164+02,SIM_WS_normal_day,117,3,1080.174101,none
2666,2026-04-12 12:07:10.634589+02,SIM_WS_normal_day,89,1,2009.358811,none
2667,2026-04-12 12:07:27.718204+02,SIM_WS_normal_day,102,2,1576.81119,none
2668,2026-04-12 12:07:59.161184+02,SIM_WS_normal_day,85,0,2305.987613,none
2669,2026-04-12 12:08:40.598476+02,SIM_WS_normal_day,83,3,2431.628506,none
2670,2026-04-12 12:08:58.382271+02,SIM_WS_normal_day,114,1,1313.499484,none
2671,2026-04-12 12:09:39.344759+02,SIM_WS_normal_day,116,0,1305.961964,none
2672,2026-04-12 12:10:05.712413+02,SIM_WS_normal_day,79,2,2620.317653,none
2673,2026-04-12 12:10:33.982665+02,SIM_WS_normal_day,106,1,1621.082835,none
2674,2026-04-12 12:11:23.81958+02,SIM_WS_normal_day,103,0,1802.196671,none
2675,2026-04-12 12:11:33.937319+02,SIM_WS_normal_day,88,3,2352.828385,none
2676,2026-04-12 12:11:56.958474+02,SIM_WS_normal_day,112,2,1572.820058,none
2677,2026-04-12 12:13:04.708289+02,SIM_WS_normal_day,134,3,872.29761,none
2678,2026-04-12 12:13:12.800419+02,SIM_WS_normal_day,86,1,2559.194176,none
2679,2026-04-12 12:13:14.982528+02,SIM_WS_normal_day,118,0,1420.371892,none
2680,2026-04-12 12:13:42.728653+02,SIM_WS_normal_day,133,2,922.748192,none
2681,2026-04-12 12:14:38.01578+02,SIM_WS_normal_day,109,3,1843.084713,none
2682,2026-04-12 12:14:54.367317+02,SIM_WS_normal_day,130,0,1096.106032,none
2683,2026-04-12 12:15:04.551507+02,SIM_WS_normal_day,124,1,1183.32864,none
2684,2026-04-12 12:16:32.263584+02,SIM_WS_normal_day,64,2,3441.523885,none
2685,2026-04-12 12:16:33.83413+02,SIM_WS_normal_day,108,3,1966.700107,none
2686,2026-04-12 12:16:35.599843+02,SIM_WS_normal_day,129,1,1213.12318,none
2687,2026-04-12 12:16:51.457458+02,SIM_WS_normal_day,120,0,1519.988694,none
2688,2026-04-12 12:18:22.249388+02,SIM_WS_normal_day,143,2,892.398577,none
2689,2026-04-12 12:18:22.640847+02,SIM_WS_normal_day,127,3,1343.165302,none
2690,2026-04-12 12:18:24.946936+02,SIM_WS_normal_day,135,0,1183.447077,none
2691,2026-04-12 12:18:33.202572+02,SIM_WS_normal_day,138,1,1064.393967,none
2692,2026-04-12 12:20:10.792235+02,SIM_WS_normal_day,128,2,1441.703781,none
2693,2026-04-12 12:20:11.10148+02,SIM_WS_normal_day,148,1,784.186291,none
2694,2026-04-12 12:20:21.350224+02,SIM_WS_normal_day,139,3,1158.035528,none
2695,2026-04-12 12:20:24.042249+02,SIM_WS_normal_day,142,0,1023.352714,none
2696,2026-04-12 12:21:53.933437+02,SIM_WS_normal_day,144,2,1091.95551,none
2697,2026-04-12 12:22:13.545156+02,SIM_WS_normal_day,123,3,1625.464963,none
2698,2026-04-12 12:22:14.741536+02,SIM_WS_normal_day,125,0,1601.277942,none
2699,2026-04-12 12:23:07.219702+02,SIM_WS_normal_day,99,1,2681.724124,none
2700,2026-04-12 12:23:49.301082+02,SIM_WS_normal_day,121,2,1857.493921,none
2701,2026-04-12 12:24:04.759133+02,SIM_WS_normal_day,132,3,1559.114238,none
2702,2026-04-12 12:25:07.074959+02,SIM_WS_normal_day,140,1,1426.841568,none
2703,2026-04-12 12:25:12.648347+02,SIM_WS_normal_day,104,0,2617.708325,none
2704,2026-04-12 12:25:42.929894+02,SIM_WS_normal_day,158,2,780.84133,none
2705,2026-04-12 12:26:43.565313+02,SIM_WS_normal_day,113,3,2446.313105,none
2706,2026-04-12 12:27:00.161828+02,SIM_WS_normal_day,153,1,993.253144,none
2707,2026-04-12 12:27:21.572746+02,SIM_WS_normal_day,149,2,1137.666516,none
2708,2026-04-12 12:28:12.386317+02,SIM_WS_normal_day,111,0,2636.995081,none
2709,2026-04-12 12:28:18.603218+02,SIM_WS_normal_day,126,3,1954.461992,none
2710,2026-04-12 12:28:51.403843+02,SIM_WS_normal_day,160,1,944.51249,none
2711,2026-04-12 12:29:20.460371+02,SIM_WS_normal_day,147,2,1344.671794,none
2712,2026-04-12 12:29:53.221649+02,SIM_WS_normal_day,150,0,1281.455497,none
2713,2026-04-12 12:30:43.129581+02,SIM_WS_normal_day,169,1,852.657678,none
2714,2026-04-12 12:31:07.227276+02,SIM_WS_normal_day,151,2,1263.523426,none
2715,2026-04-12 12:31:28.195661+02,SIM_WS_normal_day,119,3,2499.062778,none
2716,2026-04-12 12:32:25.832999+02,SIM_WS_normal_day,136,0,2009.162142,none
2717,2026-04-12 12:32:28.784415+02,SIM_WS_normal_day,155,1,1294.238395,none
2718,2026-04-12 12:32:40.158198+02,SIM_WS_normal_day,163,2,1132.895765,none
2719,2026-04-12 12:33:19.131796+02,SIM_WS_normal_day,152,3,1381.069478,none
2720,2026-04-12 12:34:05.178441+02,SIM_WS_normal_day,172,0,840.499133,none
2721,2026-04-12 12:34:13.64942+02,SIM_WS_normal_day,157,1,1305.71489,none
2722,2026-04-12 12:34:37.716133+02,SIM_WS_normal_day,162,2,1262.477225,none
2723,2026-04-12 12:34:52.241446+02,SIM_WS_normal_day,166,3,1225.430764,none
2724,2026-04-12 12:35:58.684328+02,SIM_WS_normal_day,159,0,1386.392807,none
2725,2026-04-12 12:36:08.301584+02,SIM_WS_normal_day,178,2,675.054706,none
2726,2026-04-12 12:36:41.828484+02,SIM_WS_normal_day,167,3,1282.442724,none
2727,2026-04-12 12:37:01.837448+02,SIM_WS_normal_day,122,1,2564.803706,none
2728,2026-04-12 12:37:44.569538+02,SIM_WS_normal_day,161,0,1463.137875,none
2729,2026-04-12 12:38:11.944516+02,SIM_WS_normal_day,165,3,1439.044617,none
